title,description,course_url,topics,available_videos,id
Multicore Programming Primer,"<p>The course serves as an introductory course in parallel programming. It offers a series of lectures on parallel programming concepts as well as a group project providing hands-on experience with parallel programming. The students will have the unique opportunity to use the cutting-edge PLAYSTATION 3 development platform as they learn how to design and implement exciting applications for multicore architectures. At the end of the course, students will have an understanding of:</p>
<ul>
<li>Fundamental design philosophies that multicore architectures address.</li>
<li>Parallel programming philosophies and emerging best practices.</li>
</ul>
<p>This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month. The course can be tailored to a normal semester time line.</p>
<h2 id=""acknowledgements"">Acknowledgements</h2>
<p>The course instructors are extremely grateful to <a href=""http://www.sony.com/"" target=""_blank"" rel=""noopener"">Sony</a>, <a href=""http://www.ibm.com/us/"" target=""_blank"" rel=""noopener"">IBM</a>, and <a href=""http://www.toshiba.com/tai/"" target=""_blank"" rel=""noopener"">Toshiba</a> for their support.</p>
",https://ocw.mit.edu/courses/6-189-multicore-programming-primer-january-iap-2007/,"['Engineering', 'Computer Science', 'Programming Languages', 'Software Design and Engineering', 'Theory of Computation']",0,57
Discrete Stochastic Processes,"Discrete stochastic processes are essentially probabilistic systems that evolve in time via random changes occurring at discrete fixed or random intervals. This course aims to help students acquire both the mathematical principles and the intuition necessary to create, analyze, and understand insightful models for a broad range of these processes. The range of areas for which discrete stochastic-process models are useful is constantly expanding, and includes many applications in engineering, physics, biology, operations research and finance.",https://ocw.mit.edu/courses/6-262-discrete-stochastic-processes-spring-2011/,"['Mathematics', 'Discrete Mathematics', 'Probability and Statistics']",25,58
The Battlecode Programming Competition,"<p>This course is conducted as an artificial intelligence programming contest in Java. Students work in teams to program virtual robots to play Battlecode, a real-time strategy game. Optional lectures are provided on topics and programming practices relevant to the game, and students learn and improve their programming skills experientially. The competition culminates in a live Battlecode tournament.</p>
<p>This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.</p>
",https://ocw.mit.edu/courses/6-370-the-battlecode-programming-competition-january-iap-2013/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Programming Languages', 'Fine Arts', 'Game Design']",8,59
Robotic Manipulation,"<p>Introduces the fundamental algorithmic approaches for creating robot systems that can autonomously manipulate physical objects in unstructured environments such as homes and restaurants. Topics include perception (including approaches based on deep learning and approaches based on 3D geometry), planning (robot kinematics and trajectory generation, collision-free motion planning, task-and-motion planning, and planning under uncertainty), as well as dynamics and control (both model-based and learning-based).</p>
<p>Homework assignments will guide students through building a software stack that will enable a robotic arm to autonomously manipulation objects in cluttered scenes (like a kitchen). A final project will allow students to dig deeper into a specific aspect of their choosing. The class has hardware available for ambitious final projects, but will also make heavy use of simulation using cloud resources.</p>
",https://ocw.mit.edu/courses/6-4210-robotic-manipulation-fall-2022/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Electrical Engineering', 'Robotics and Control Systems']",0,60
Principles of Digital Communications I,"<p>The course serves as an introduction to the theory and practice behind many of today’s communications systems. 6.450 forms the first of a two-course sequence on digital communication. The second class, 6.451, is offered in the spring.</p>
<p>Topics covered include: digital communications at the block diagram level, data compression, Lempel-Ziv algorithm, scalar and vector quantization, sampling and aliasing, the Nyquist criterion, PAM and QAM modulation, signal constellations, finite-energy waveform spaces, detection, and modeling and system design for wireless communication.</p>
",https://ocw.mit.edu/courses/6-450-principles-of-digital-communications-i-fall-2006/,"['Engineering', 'Electrical Engineering', 'Digital Systems', 'Telecommunications']",24,61
Principles of Digital Communication II,"<p>This course is the second of a two-term sequence with 6.450. The focus is on coding techniques for approaching the Shannon limit of additive white Gaussian noise (AWGN) channels, their performance analysis, and design principles. After a review of 6.450 and the Shannon limit for AWGN channels, the course begins by discussing small signal constellations, performance analysis and coding gain, and hard-decision and soft-decision decoding. It continues with binary linear block codes, Reed-Muller codes, finite fields, Reed-Solomon and BCH codes, binary linear convolutional codes, and the Viterbi algorithm.</p>
<p>More advanced topics include trellis representations of binary linear block codes and trellis-based decoding; codes on graphs; the sum-product and min-sum algorithms; the BCJR algorithm; turbo codes, LDPC codes and RA codes; and performance of LDPC codes with iterative decoding. Finally, the course addresses coding for the bandwidth-limited regime, including lattice codes, trellis-coded modulation, multilevel coding and shaping. If time permits, it covers equalization of linear Gaussian channels.</p>
",https://ocw.mit.edu/courses/6-451-principles-of-digital-communication-ii-spring-2005/,"['Engineering', 'Electrical Engineering', 'Digital Systems', 'Telecommunications']",25,62
Underactuated Robotics,"<p>Robots today move far too conservatively, using control systems that attempt to maintain full control authority at all times. Humans and animals move much more aggressively by routinely executing motions which involve a loss of instantaneous control authority. Controlling nonlinear systems without complete control authority requires methods that can reason about and exploit the natural dynamics of our machines.</p>
<p>This course discusses nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on machine learning methods. Topics include nonlinear dynamics of passive robots (walkers, swimmers, flyers), motion planning, partial feedback linearization, energy-shaping control, analytical optimal control, reinforcement learning/approximate optimal control, and the influence of mechanical design on control. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.</p>
<p>Professor Tedrake offered an updated version of this course that <a href=""https://www.edx.org/course/underactuated-robotics-mitx-6-832x-0?utm_source=OCW&amp;utm_medium=6-832CHP&amp;utm_campaign=OCW"" target=""_blank"" rel=""noopener"">can be accessed through the edX platform</a>.</p>
<h5 id=""acknowledgements"">Acknowledgements</h5>
<p>Professor Tedrake would like to thank John Roberts for his help with the course and videotaping the lectures.</p>
",https://ocw.mit.edu/courses/6-832-underactuated-robotics-spring-2009/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Electrical Engineering', 'Robotics and Control Systems']",23,63
Underactuated Robotics,"<p>Robots today move far too conservatively, using control systems that attempt to maintain full control authority at all times. Humans and animals move much more aggressively by routinely executing motions which involve a loss of instantaneous control authority. Controlling nonlinear systems without complete control authority requires methods that can reason about and exploit the natural dynamics of our machines.</p>
<p>This course introduces nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on computational methods. Topics include the nonlinear dynamics of robotic manipulators, applied optimal and robust control and motion planning. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.</p>
",https://ocw.mit.edu/courses/6-832-underactuated-robotics-spring-2022/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Electrical Engineering', 'Robotics and Control Systems']",0,64
"Geometric Folding Algorithms: Linkages, Origami, Polyhedra","<p>This course focuses on the algorithms for analyzing and designing geometric foldings. Topics include reconfiguration of foldable structures, linkages made from one-dimensional rods connected by hinges, folding two-dimensional paper (origami), and unfolding and folding three-dimensional polyhedra. Applications to architecture, robotics, manufacturing, and biology are also covered in this course.</p>
<h2 id=""acknowledgments"">Acknowledgments</h2>
<p>Thanks to videographers Martin Demaine and Jayson Lynch.</p>
",https://ocw.mit.edu/courses/6-849-geometric-folding-algorithms-linkages-origami-polyhedra-fall-2012/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Fine Arts', 'Visual Arts', 'Mathematics', 'Topology and Geometry']",0,65
Advanced Data Structures,"<p>Data structures play a central role in modern computer science. You interact with data structures even more often than with algorithms (think Google, your mail server, and even your network routers). In addition, data structures are essential building blocks in obtaining efficient algorithms. This course covers major results and current directions of research in data structure.</p>
<h2 id=""acknowledgments"">Acknowledgments</h2>
<p>Thanks to videographers Martin Demaine and Justin Zhang.</p>
",https://ocw.mit.edu/courses/6-851-advanced-data-structures-spring-2012/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures']",22,66
Computer Systems Security,"6.858 Computer Systems Security is a class about the design and implementation of secure computer systems. Lectures cover threat models, attacks that compromise security, and techniques for achieving security, based on recent research papers. Topics include operating system (OS) security, capabilities, information flow control, language security, network protocols, hardware security, and security in web applications.",https://ocw.mit.edu/courses/6-858-computer-systems-security-fall-2014/,"['Engineering', 'Computer Science', 'Computer Design and Engineering', 'Software Design and Engineering']",22,67
The Society of Mind,"This course is an introduction to the theory that tries to explain how minds are made from collections of simpler processes. It treats such aspects of thinking as vision, language, learning, reasoning, memory, consciousness, ideals, emotions, and personality. It incorporates ideas from psychology, artificial intelligence, and computer science to resolve theoretical issues such as wholes vs. parts, structural vs. functional descriptions, declarative vs. procedural representations, symbolic vs. connectionist models, and logical vs. common-sense theories of learning.",https://ocw.mit.edu/courses/6-868j-the-society-of-mind-fall-2011/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Humanities', 'Philosophy']",13,68
Algorithmic Lower Bounds: Fun with Hardness Proofs,"6.890 Algorithmic Lower Bounds: Fun with Hardness Proofs is a class taking a practical approach to proving problems can’t be solved efficiently (in polynomial time and assuming standard complexity-theoretic assumptions like P&nbsp;≠&nbsp;NP). The class focuses on reductions and techniques for proving problems are computationally hard for a variety of complexity classes. Along the way, the class will create many interesting gadgets, learn many hardness proof styles, explore the connection between games and computation, survey several important problems and complexity classes, and crush hopes and dreams (for fast optimal solutions).",https://ocw.mit.edu/courses/6-890-algorithmic-lower-bounds-fun-with-hardness-proofs-fall-2014/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Theory of Computation', 'Mathematics', 'Computation']",23,69
Introduction to Copyright Law,"This course is an introduction to copyright law and American law in general. Topics covered include: structure of federal law; basics of legal research; legal citations; how to use LexisNexis®; the 1976 Copyright Act; copyright as applied to music, computers, broadcasting, and education; fair use; Napster®, Grokster®, and Peer-to-Peer file-sharing; Library Access to Music Project; The 1998 Digital Millennium Copyright Act; DVDs and encryption; software licensing; the GNU® General Public License and free software.",https://ocw.mit.edu/courses/6-912-introduction-to-copyright-law-january-iap-2006/,"['Social Science', 'Legal Studies']",4,70
Programming for the Puzzled,"This class builds a bridge between the recreational world of algorithmic puzzles (puzzles that can be solved by algorithms) and the pragmatic world of computer programming, teaching students to program while solving puzzles. Python syntax and semantics required to understand the code are explained as needed for each puzzle.",https://ocw.mit.edu/courses/6-s095-programming-for-the-puzzled-january-iap-2018/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Programming Languages']",0,71
Introduction to Deep Learning,"This is MIT’s introductory course on deep learning methods with applications to computer vision, natural language processing, biology, and more! Students will gain foundational knowledge of deep learning algorithms and get practical experience in building neural networks in TensorFlow. Course concludes with a project proposal competition with feedback from staff and panel of industry sponsors. Prerequisites assume calculus (i.e. taking derivatives) and linear algebra (i.e. matrix multiplication), and we’ll try to explain everything else along the way! Experience in Python is helpful but not necessary.",https://ocw.mit.edu/courses/6-s191-introduction-to-deep-learning-january-iap-2020/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Graphics and Visualization', 'Software Design and Engineering']",0,72
Machine Learning for Healthcare,"This course introduces students to machine learning in healthcare, including the nature of clinical data and the use of machine learning for risk stratification, disease progression modeling, precision medicine, diagnosis, subtype discovery, and improving clinical workflows.",https://ocw.mit.edu/courses/6-s897-machine-learning-for-healthcare-spring-2019/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Human-Computer Interfaces', 'Health and Medicine', 'Medical Imaging', 'Public Health']",25,73
Machine Learning for Inverse Graphics,"This course covers fundamental and advanced techniques in this field at the intersection of computer vision, computer graphics, and geometric deep learning. It will lay the foundations of how cameras see the world, how we can represent 3D scenes for artificial intelligence, how we can learn to reconstruct these representations from only a single image, how we can guarantee certain kinds of generalizations, and how we can train these models in a self-supervised way.",https://ocw.mit.edu/courses/6-s980-machine-learning-for-inverse-graphics-fall-2022/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Graphics and Visualization']",0,74
Introduction to Biology,"<p>The MIT Biology Department core courses, 7.012, 7.013, and 7.014, all cover the same core material, which includes the fundamental principles of biochemistry, genetics, molecular biology, and cell biology. Biological function at the molecular level is particularly emphasized and covers the structure and regulation of genes, as well as, the structure and synthesis of proteins, how these molecules are integrated into cells, and how these cells are integrated into multicellular systems and organisms. In addition, each version of the subject has its own distinctive material.</p>
<p>7.012 focuses on the exploration of current research in cell biology, immunology, neurobiology, genomics, and molecular medicine.</p>
<h2 id=""acknowledgments"">Acknowledgments</h2>
<p>The study materials, problem sets, and quiz materials used during Fall 2004 for 7.012 include contributions from past instructors, teaching assistants, and other members of the MIT Biology Department affiliated with course #7.012. Since the following works have evolved over a period of many years, no single source can be attributed.</p>
",https://ocw.mit.edu/courses/7-012-introduction-to-biology-fall-2004/,"['Science', 'Biology']",34,75
Introductory Biology,"<p>The MIT Biology Department core courses, <a href=""/courses/7-012-introduction-to-biology-fall-2004/"">7.012</a>, 7.013, and <a href=""/courses/7-014-introductory-biology-spring-2005/"">7.014</a>, all cover the same core material, which includes the fundamental principles of biochemistry, genetics, molecular biology, and cell biology. 7.013 focuses on the application of the fundamental principles toward an understanding of human biology. Topics include genetics, cell biology, molecular biology, disease (infectious agents, inherited diseases and cancer), developmental biology, neurobiology and evolution.</p>
<p>Biological function at the molecular level is particularly emphasized in all courses and covers the structure and regulation of genes, as well as, the structure and synthesis of proteins, how these molecules are integrated into cells, and how these cells are integrated into multicellular systems and organisms. In addition, each version of the subject has its own distinctive material.</p>
",https://ocw.mit.edu/courses/7-013-introductory-biology-spring-2013/,"['Science', 'Biology', 'Biochemistry', 'Cell Biology', 'Developmental Biology', 'Genetics', 'Molecular Biology']",0,76
Introductory Biology,"<p>The MIT Biology Department core courses, <a href=""courses/7-012-introduction-to-biology-fall-2004"">7.012</a>, <a href=""courses/7-013-introductory-biology-spring-2006"">7.013</a>, and 7.014, all cover the same core material, which includes the fundamental principles of biochemistry, genetics, molecular biology, and cell biology. Biological function at the molecular level is particularly emphasized and covers the structure and regulation of genes, as well as, the structure and synthesis of proteins, how these molecules are integrated into cells, and how these cells are integrated into multicellular systems and organisms. In addition, each version of the subject has its own distinctive material.</p>
<p>7.014 focuses on the application of these fundamental principles, toward an understanding of microorganisms as geochemical agents responsible for the evolution and renewal of the biosphere and of their role in human health and disease.</p>
<h2 id=""acknowledgements"">Acknowledgements</h2>
<p>The study materials, problem sets, and quiz materials used during Spring 2005 for 7.014 include contributions from past instructors, teaching assistants, and other members of the MIT Biology Department affiliated with course 7.014. Since the following works have evolved over a period of many years, no single source can be attributed.</p>
",https://ocw.mit.edu/courses/7-014-introductory-biology-spring-2005/,"['Science', 'Biology']",34,77
Introductory Biology,"<p><em>7.016 Introductory Biology</em> provides an introduction to fundamental principles of biochemistry, molecular biology, and genetics for understanding the functions of living systems. Taught for the first time in Fall 2013, this course covers examples of the use of chemical biology and twenty-first-century molecular genetics in understanding human health and therapeutic intervention.</p>
<p>The MIT Biology Department Introductory Biology courses&nbsp;<a href=""/courses/7-012-introduction-to-biology-fall-2004/"">7.012</a>, <a href=""/courses/7-013-introductory-biology-spring-2013/"">7.013</a>, <a href=""/courses/7-014-introductory-biology-spring-2005/"">7.014</a>, 7.015, and <a href=""/courses/7-016-introductory-biology-fall-2018"">7.016</a> all cover the same core material, which includes the fundamental principles of biochemistry, genetics, molecular biology, and cell biology. Biological function at the molecular level is particularly emphasized and covers the structure and regulation of genes, as well as the structure and synthesis of proteins, how these molecules are integrated into cells, and how these cells are integrated into multicellular systems and organisms. In addition, each version of the subject has its own distinctive material.</p>
",https://ocw.mit.edu/courses/7-016-introductory-biology-fall-2018/,"['Health and Medicine', 'Cancer', 'Functional Genomics', 'Science', 'Biology', 'Biochemistry', 'Cell Biology', 'Genetics', 'Microbiology', 'Molecular Biology', 'Virology']",35,78
Fundamentals of Biology,"<p><em>Fundamentals of Biology</em> focuses on the basic principles of biochemistry, molecular biology, genetics, and recombinant DNA. These principles are necessary to understanding the basic mechanisms of life and anchor the biological knowledge that is required to understand many of the challenges in everyday life, from human health and disease to loss of biodiversity and environmental quality.</p>
<h5 id=""course-format"">Course Format</h5>
<hr>
<p><a href=""pages/syllabus""><img src=""/images/button_start.png"" alt=""Click to get started.""></a> This course has been designed for independent study. It consists of four units, one for each topic. The units can be used individually or in combination. The materials for each unit include:</p>
<ul>
<li><strong>Lecture Videos</strong> by MIT faculty.</li>
<li>Learning activities, including <strong>Interactive Concept Quizzes</strong>, designed to reinforce main concepts from lectures.</li>
<li><strong>Problem Sets</strong> you do on your own and check your answers against the <strong>Solutions</strong> when you’re done.</li>
<li><strong>Problem Solving Video</strong> help sessions taught by experienced MIT Teaching Assistants.</li>
<li>Lists of important <strong>Terms and Definitions.</strong></li>
<li><strong>Suggested Topics and Links</strong> for further study.</li>
<li><strong>Exams</strong> with <strong>Solution Keys.</strong></li>
</ul>
<h5 id=""content-development"">Content Development</h5>
<hr>
<p>Eric Lander<br>
Robert Weinberg<br>
Tyler Jacks<br>
Hazel Sive</p>
<p>Graham Walker<br>
Sallie Chisholm<br>
Dr. Michelle Mischke</p>
",https://ocw.mit.edu/courses/7-01sc-fundamentals-of-biology-fall-2011/,"['Science', 'Biology']",0,79
General Biochemistry,"<p>This course focuses on contributions of biochemistry toward an understanding of the structure and functioning of organisms, tissues, and cells. Topics include:</p>
<ul>
<li>Chemistry and functions of constituents of cells and tissues and the chemical and physical-chemical basis for the structures of nucleic acids, proteins, and carbohydrates.</li>
<li>Basic enzymology and biochemical reaction mechanisms involved in macromolecular synthesis and degradation, signaling, transport, and movement.</li>
<li>General metabolism of carbohydrates, fats, and nitrogen-containing materials such as amino acids, proteins, and related compounds.</li>
</ul>
<p>NOTE: The first half of this course, taught by Prof. Yaffe, is available on the MITx platform as <em><a href=""https://www.edx.org/course/biochemistry-biomolecules-methods-and-mechanisms?utm_source=mitopenlearning-mit-open-learning&amp;utm_medium=affiliate_partner"" target=""_blank"" rel=""noopener"">7.05x Biochemistry: Biomolecules, Methods, and Mechanisms</a></em>. This OCW website provides content primarily from the second half with Prof. Vander Heiden, which focuses on metabolism.</p>
",https://ocw.mit.edu/courses/7-05-general-biochemistry-spring-2020/,"['Science', 'Biology', 'Biochemistry', 'Chemistry', 'Analytical Chemistry', 'Organic Chemistry', 'Physical Chemistry']",15,80
Foundations of Computational and Systems Biology,"This course is an introduction to computational biology emphasizing the fundamentals of nucleic acid and protein sequence and structural analysis; it also includes an introduction to the analysis of complex biological systems. Topics covered in the course include principles and methods used for sequence alignment, motif finding, structural modeling, structure prediction and network modeling, as well as currently emerging research areas.",https://ocw.mit.edu/courses/7-91j-foundations-of-computational-and-systems-biology-spring-2014/,"['Engineering', 'Biological Engineering', 'Computational Biology', 'Systems Engineering', 'Computational Modeling and Simulation', 'Science', 'Biology', 'Computation and Systems Biology']",22,81
Classical Mechanics,"<p>This first course in the physics curriculum introduces classical mechanics. Historically, a set of core concepts—space, time, mass, force, momentum, torque, and angular momentum—were introduced in classical mechanics in order to solve the most famous physics problem, the motion of the planets.</p>
<p>The principles of mechanics successfully described many other phenomena encountered in the world. Conservation laws involving energy, momentum and angular momentum provided a second parallel approach to solving many of the same problems. In this course, we will investigate both approaches: Force and conservation laws.</p>
<p>Our goal is to develop a conceptual understanding of the core concepts, a familiarity with the experimental verification of our theoretical laws, and an ability to apply the theoretical framework to describe and predict the motions of bodies.</p>
",https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/,"['Science', 'Physics', 'Classical Mechanics']",0,82
Physics II: Electricity and Magnetism,"<p>Electricity and magnetism dominate much of the world around us – from the most fundamental processes in nature to cutting-edge electronic devices. Electric and magnetic fields arise from charged particles. Charged particles also feel forces in electric and magnetic fields. Maxwell’s equations, in addition to describing this behavior, also describe electromagnetic radiation.&nbsp;</p>
<p>The three-course series comprises:</p>
<p><a href=""https://openlearninglibrary.mit.edu/courses/course-v1:MITx+8.02.1x+1T2019/about"" target=""_blank"" rel=""noopener"">8.02.1x</a>: Electrostatics<br>
<a href=""https://openlearninglibrary.mit.edu/courses/course-v1:MITx+8.02.2x+2T2018/about"" target=""_blank"" rel=""noopener"">8.02.2x</a>: Magnetic Fields and Forces<br>
<a href=""https://openlearninglibrary.mit.edu/courses/course-v1:MITx+8.02.3x+1T2019/about"" target=""_blank"" rel=""noopener"">8.02.3x</a>: Maxwell’s Equations</p>
<p>This course was organized as a three-part series on <a href=""https://www.edx.org/school/mitx"" target=""_blank"" rel=""noopener"">MITx</a> by MIT’s Department of Physics and is now archived on the <a href=""https://openlearning.mit.edu/courses-programs/open-learning-library"" target=""_blank"" rel=""noopener"">Open Learning Library</a>, which is free to use. You have the option to sign up and enroll in each module if you want to track your progress, or you can view and use all the materials without enrolling.</p>
",https://ocw.mit.edu/courses/8-02-physics-ii-electricity-and-magnetism-spring-2019/,"['Science', 'Physics', 'Electromagnetism']",0,83
Physics III: Vibrations and Waves,"<p>Vibrations and waves are everywhere. If you take any system and disturb it from a stable equilibrium, the resultant motion will be waves and vibrations. Think of a guitar string—pluck the string, and it vibrates. The sound waves generated make their way to our ears, and we hear the string’s sound. Our eyes see what’s happening because they receive the electromagnetic waves of the light reflected from the guitar string, so that we can recognize the beautiful sinusoidal waves on the string. In fact, without vibrations and waves, we could not recognize the universe around us at all!</p>
<p><a href=""pages/syllabus""><img src=""/images/button_start.png"" alt=""Click to get started.""></a></p>
<p>The amazing thing is that we can describe many fascinating phenomena arising from very different physical systems with mathematics. This course will provide you with the concepts and mathematical tools necessary to understand and explain a broad range of vibrations and waves. You will learn that waves come from many interconnected (coupled) objects when they are vibrating together. We will discuss many of these phenomena, along with related topics, including mechanical vibrations and waves, sound waves, electromagnetic waves, optics, and gravitational waves.</p>
",https://ocw.mit.edu/courses/8-03sc-physics-iii-vibrations-and-waves-fall-2016/,"['Science', 'Physics', 'Atomic, Molecular, Optical Physics', 'Classical Mechanics', 'Electromagnetism']",0,84
Quantum Physics I,"<p>This is the first course in the undergraduate Quantum Physics sequence. It introduces the basic features of quantum mechanics. It covers the experimental basis of quantum physics, introduces wave mechanics, Schrödinger’s equation in a single dimension, and Schrödinger’s equation in three dimensions. The lectures and lecture notes for this course form the basis of Zwiebach’s textbook <em>Mastering Quantum Mechanics</em> published by&nbsp;<a href=""https://mitpress.mit.edu/books/mastering-quantum-mechanics"" target=""_blank"" rel=""noopener"">MIT Press</a>&nbsp;in April 2022.</p>
<p>This presentation of 8.04 by Barton Zwiebach (2016) differs somewhat and complements nicely the presentation of <a href=""/courses/8-04-quantum-physics-i-spring-2013/"">Allan Adams (2013)</a>. Adams covers a larger set of ideas; Zwiebach tends to go deeper into a smaller set of ideas, offering a systematic and detailed treatment. Adams begins with the subtleties of superpostion, while Zwiebach discusses the surprises of interaction-free measurements. While both courses overlap over a sizable amount of standard material, Adams discussed applications to condensed matter physics, while Zwiebach focused on scattering and resonances. The different perspectives of the instructors make the problem sets in the two courses rather different.</p>
",https://ocw.mit.edu/courses/8-04-quantum-physics-i-spring-2016/,"['Science', 'Physics', 'Quantum Mechanics']",0,85
Quantum Physics II,"Together, this course and <a href=""https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/"" target=""_blank"" rel=""noopener""><em>8.06 Quantum Physics III</em></a> cover quantum physics with applications drawn from modern physics. Topics covered in this course include the general formalism of quantum mechanics, harmonic oscillator, quantum mechanics in three-dimensions, angular momentum, spin, and addition of angular momentum. The lectures and lecture notes for this course form the basis of Zwiebach’s textbook <em>Mastering Quantum Mechanics</em> published by&nbsp;<a href=""https://mitpress.mit.edu/books/mastering-quantum-mechanics"" target=""_blank"" rel=""noopener"">MIT Press</a>&nbsp;in April 2022.",https://ocw.mit.edu/courses/8-05-quantum-physics-ii-fall-2013/,"['Science', 'Physics', 'Quantum Mechanics']",26,86
Quantum Physics III,"This course is a continuation of <a href=""/courses/8-05-quantum-physics-ii-fall-2013/""><em>8.05 Quantum Physics II</em></a>. It introduces some of the important model systems studied in contemporary physics, including two-dimensional electron systems, the fine structure of hydrogen, lasers, and particle scattering. The lectures and lecture notes for this course form the basis of Zwiebach’s textbook <em>Mastering Quantum Mechanics</em> published by&nbsp;<a href=""https://mitpress.mit.edu/books/mastering-quantum-mechanics"" target=""_blank"" rel=""noopener"">MIT Press</a>&nbsp;in April 2022.",https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/,"['Science', 'Physics', 'Quantum Mechanics', 'Theoretical Physics']",0,87
Introduction to Special Relativity,"The theory of special relativity, originally proposed by Albert Einstein in his famous 1905 paper, has had profound consequences on our view of physics, space, and time. This course will introduce you to the concepts behind special relativity including, but not limited to, length contraction, time dilation, the Lorentz transformation, relativistic kinematics, Doppler shifts, and even so-called “paradoxes.”",https://ocw.mit.edu/courses/8-20-introduction-to-special-relativity-january-iap-2021/,"['Science', 'Physics', 'Relativity']",0,88
Exploring Black Holes: General Relativity & Astrophysics,"Study of physical effects in the vicinity of a black hole as a basis for understanding general relativity, astrophysics, and elements of cosmology. Extension to current developments in theory and observation. Energy and momentum in flat spacetime; the metric; curvature of spacetime near rotating and nonrotating centers of attraction; trajectories and orbits of particles and light; elementary models of the Cosmos. Weekly meetings include an evening seminar and recitation. The last third of the semester is reserved for collaborative research projects on topics such as the Global Positioning System, solar system tests of relativity, descending into a black hole, gravitational lensing, gravitational waves, Gravity Probe B, and more advanced models of the Cosmos.",https://ocw.mit.edu/courses/8-224-exploring-black-holes-general-relativity-astrophysics-spring-2003/,"['Science', 'Physics', 'Astrophysics', 'Relativity']",6,89
The Early Universe,"<p>The Early Universe provides an introduction to modern cosmology. The first part of the course deals with the classical cosmology, and later part with modern particle physics and its recent impact on cosmology.</p>
<h2 id=""in-the-news"">In the News</h2>
<p>For more about Professor Guth’s work, <a href=""http://www.wbur.org/2015/02/26/visionaries-alan-guth-mit"" target=""_blank"" rel=""noopener"">listen to this interview</a> from WBUR, Boston’s National Public Radio news station.</p>
<p>You may also be interested in this MIT Alumni Association Podcast <a href=""https://alum.mit.edu/slice/podcast-inflationary-cosmology-our-universe-part-multiverse"" target=""_blank"" rel=""noopener"">Inflationary Cosmology—Is Our Universe Part of a Multiverse?</a> with Professor Guth.</p>
",https://ocw.mit.edu/courses/8-286-the-early-universe-fall-2013/,"['Science', 'Physics', 'Astrophysics', 'Theoretical Physics']",23,90
Statistical Mechanics I: Statistical Mechanics of Particles,"Statistical Mechanics is a probabilistic approach to equilibrium properties of large numbers of degrees of freedom. In this two-semester course, basic principles are examined. Topics include: Thermodynamics, probability theory, kinetic theory, classical statistical mechanics, interacting systems, quantum statistical mechanics, and identical particles.",https://ocw.mit.edu/courses/8-333-statistical-mechanics-i-statistical-mechanics-of-particles-fall-2013/,"['Mathematics', 'Probability and Statistics', 'Science', 'Physics', 'Particle Physics', 'Quantum Mechanics', 'Thermodynamics']",26,91
Statistical Mechanics II: Statistical Physics of Fields,"This is the second term in a two-semester course on statistical mechanics. Basic principles are examined in this class, such as the laws of thermodynamics and the concepts of temperature, work, heat, and entropy. Topics from modern statistical mechanics are also explored, including the hydrodynamic limit and classical field theories.",https://ocw.mit.edu/courses/8-334-statistical-mechanics-ii-statistical-physics-of-fields-spring-2014/,"['Mathematics', 'Probability and Statistics', 'Science', 'Physics', 'Theoretical Physics', 'Thermodynamics']",26,92
Atomic and Optical Physics I,"This is the first of a two-semester subject sequence that provides the foundations for contemporary research in selected areas of atomic and optical physics. Topics covered include the interaction of radiation with atoms: resonance; absorption, stimulated and spontaneous emission; methods of resonance, dressed atom formalism, masers and lasers, cavity quantum electrodynamics; structure of simple atoms, behavior in very strong fields; fundamental tests: time reversal, parity violations, Bell’s inequalities; and experimental methods.",https://ocw.mit.edu/courses/8-421-atomic-and-optical-physics-i-spring-2014/,"['Science', 'Physics', 'Atomic, Molecular, Optical Physics']",25,93
