title,description,course_url,topics,available_videos,id,view_count,popularity_score
The Society of Mind,"This course is an introduction to the theory that tries to explain how minds are made from collections of simpler processes. It treats such aspects of thinking as vision, language, learning, reasoning, memory, consciousness, ideals, emotions, and personality. It incorporates ideas from psychology, artificial intelligence, and computer science to resolve theoretical issues such as wholes vs. parts, structural vs. functional descriptions, declarative vs. procedural representations, symbolic vs. connectionist models, and logical vs. common-sense theories of learning.",https://ocw.mit.edu/courses/6-868j-the-society-of-mind-fall-2011/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Humanities', 'Philosophy']",13,68,2640903,0.8070175438596491
Algorithmic Lower Bounds: Fun with Hardness Proofs,"6.890 Algorithmic Lower Bounds: Fun with Hardness Proofs is a class taking a practical approach to proving problems can’t be solved efficiently (in polynomial time and assuming standard complexity-theoretic assumptions like P&nbsp;≠&nbsp;NP). The class focuses on reductions and techniques for proving problems are computationally hard for a variety of complexity classes. Along the way, the class will create many interesting gadgets, learn many hardness proof styles, explore the connection between games and computation, survey several important problems and complexity classes, and crush hopes and dreams (for fast optimal solutions).",https://ocw.mit.edu/courses/6-890-algorithmic-lower-bounds-fun-with-hardness-proofs-fall-2014/,"['Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Theory of Computation', 'Mathematics', 'Computation']",23,69,243944,0.3333333333333333
Introduction to Copyright Law,"This course is an introduction to copyright law and American law in general. Topics covered include: structure of federal law; basics of legal research; legal citations; how to use LexisNexis®; the 1976 Copyright Act; copyright as applied to music, computers, broadcasting, and education; fair use; Napster®, Grokster®, and Peer-to-Peer file-sharing; Library Access to Music Project; The 1998 Digital Millennium Copyright Act; DVDs and encryption; software licensing; the GNU® General Public License and free software.",https://ocw.mit.edu/courses/6-912-introduction-to-copyright-law-january-iap-2006/,"['Social Science', 'Legal Studies']",4,70,94701,0.15789473684210525
Machine Learning for Healthcare,"This course introduces students to machine learning in healthcare, including the nature of clinical data and the use of machine learning for risk stratification, disease progression modeling, precision medicine, diagnosis, subtype discovery, and improving clinical workflows.",https://ocw.mit.edu/courses/6-s897-machine-learning-for-healthcare-spring-2019/,"['Engineering', 'Computer Science', 'Artificial Intelligence', 'Human-Computer Interfaces', 'Health and Medicine', 'Medical Imaging', 'Public Health']",25,73,378840,0.4649122807017544
Introduction to Biology,"<p>The MIT Biology Department core courses, 7.012, 7.013, and 7.014, all cover the same core material, which includes the fundamental principles of biochemistry, genetics, molecular biology, and cell biology. Biological function at the molecular level is particularly emphasized and covers the structure and regulation of genes, as well as, the structure and synthesis of proteins, how these molecules are integrated into cells, and how these cells are integrated into multicellular systems and organisms. In addition, each version of the subject has its own distinctive material.</p>
<p>7.012 focuses on the exploration of current research in cell biology, immunology, neurobiology, genomics, and molecular medicine.</p>
<h2 id=""acknowledgments"">Acknowledgments</h2>
<p>The study materials, problem sets, and quiz materials used during Fall 2004 for 7.012 include contributions from past instructors, teaching assistants, and other members of the MIT Biology Department affiliated with course #7.012. Since the following works have evolved over a period of many years, no single source can be attributed.</p>
",https://ocw.mit.edu/courses/7-012-introduction-to-biology-fall-2004/,"['Science', 'Biology']",34,75,1022894,0.6842105263157895
Introductory Biology,"<p>The MIT Biology Department core courses, <a href=""courses/7-012-introduction-to-biology-fall-2004"">7.012</a>, <a href=""courses/7-013-introductory-biology-spring-2006"">7.013</a>, and 7.014, all cover the same core material, which includes the fundamental principles of biochemistry, genetics, molecular biology, and cell biology. Biological function at the molecular level is particularly emphasized and covers the structure and regulation of genes, as well as, the structure and synthesis of proteins, how these molecules are integrated into cells, and how these cells are integrated into multicellular systems and organisms. In addition, each version of the subject has its own distinctive material.</p>
<p>7.014 focuses on the application of these fundamental principles, toward an understanding of microorganisms as geochemical agents responsible for the evolution and renewal of the biosphere and of their role in human health and disease.</p>
<h2 id=""acknowledgements"">Acknowledgements</h2>
<p>The study materials, problem sets, and quiz materials used during Spring 2005 for 7.014 include contributions from past instructors, teaching assistants, and other members of the MIT Biology Department affiliated with course 7.014. Since the following works have evolved over a period of many years, no single source can be attributed.</p>
",https://ocw.mit.edu/courses/7-014-introductory-biology-spring-2005/,"['Science', 'Biology']",34,77,880183,0.6491228070175439
Introductory Biology,"<p><em>7.016 Introductory Biology</em> provides an introduction to fundamental principles of biochemistry, molecular biology, and genetics for understanding the functions of living systems. Taught for the first time in Fall 2013, this course covers examples of the use of chemical biology and twenty-first-century molecular genetics in understanding human health and therapeutic intervention.</p>
<p>The MIT Biology Department Introductory Biology courses&nbsp;<a href=""/courses/7-012-introduction-to-biology-fall-2004/"">7.012</a>, <a href=""/courses/7-013-introductory-biology-spring-2013/"">7.013</a>, <a href=""/courses/7-014-introductory-biology-spring-2005/"">7.014</a>, 7.015, and <a href=""/courses/7-016-introductory-biology-fall-2018"">7.016</a> all cover the same core material, which includes the fundamental principles of biochemistry, genetics, molecular biology, and cell biology. Biological function at the molecular level is particularly emphasized and covers the structure and regulation of genes, as well as the structure and synthesis of proteins, how these molecules are integrated into cells, and how these cells are integrated into multicellular systems and organisms. In addition, each version of the subject has its own distinctive material.</p>
",https://ocw.mit.edu/courses/7-016-introductory-biology-fall-2018/,"['Health and Medicine', 'Cancer', 'Functional Genomics', 'Science', 'Biology', 'Biochemistry', 'Cell Biology', 'Genetics', 'Microbiology', 'Molecular Biology', 'Virology']",35,78,1501307,0.7192982456140351
General Biochemistry,"<p>This course focuses on contributions of biochemistry toward an understanding of the structure and functioning of organisms, tissues, and cells. Topics include:</p>
<ul>
<li>Chemistry and functions of constituents of cells and tissues and the chemical and physical-chemical basis for the structures of nucleic acids, proteins, and carbohydrates.</li>
<li>Basic enzymology and biochemical reaction mechanisms involved in macromolecular synthesis and degradation, signaling, transport, and movement.</li>
<li>General metabolism of carbohydrates, fats, and nitrogen-containing materials such as amino acids, proteins, and related compounds.</li>
</ul>
<p>NOTE: The first half of this course, taught by Prof. Yaffe, is available on the MITx platform as <em><a href=""https://www.edx.org/course/biochemistry-biomolecules-methods-and-mechanisms?utm_source=mitopenlearning-mit-open-learning&amp;utm_medium=affiliate_partner"" target=""_blank"" rel=""noopener"">7.05x Biochemistry: Biomolecules, Methods, and Mechanisms</a></em>. This OCW website provides content primarily from the second half with Prof. Vander Heiden, which focuses on metabolism.</p>
",https://ocw.mit.edu/courses/7-05-general-biochemistry-spring-2020/,"['Science', 'Biology', 'Biochemistry', 'Chemistry', 'Analytical Chemistry', 'Organic Chemistry', 'Physical Chemistry']",15,80,181416,0.2543859649122807
Foundations of Computational and Systems Biology,"This course is an introduction to computational biology emphasizing the fundamentals of nucleic acid and protein sequence and structural analysis; it also includes an introduction to the analysis of complex biological systems. Topics covered in the course include principles and methods used for sequence alignment, motif finding, structural modeling, structure prediction and network modeling, as well as currently emerging research areas.",https://ocw.mit.edu/courses/7-91j-foundations-of-computational-and-systems-biology-spring-2014/,"['Engineering', 'Biological Engineering', 'Computational Biology', 'Systems Engineering', 'Computational Modeling and Simulation', 'Science', 'Biology', 'Computation and Systems Biology']",22,81,882824,0.6578947368421053
Quantum Physics II,"Together, this course and <a href=""https://ocw.mit.edu/courses/8-06-quantum-physics-iii-spring-2018/"" target=""_blank"" rel=""noopener""><em>8.06 Quantum Physics III</em></a> cover quantum physics with applications drawn from modern physics. Topics covered in this course include the general formalism of quantum mechanics, harmonic oscillator, quantum mechanics in three-dimensions, angular momentum, spin, and addition of angular momentum. The lectures and lecture notes for this course form the basis of Zwiebach’s textbook <em>Mastering Quantum Mechanics</em> published by&nbsp;<a href=""https://mitpress.mit.edu/books/mastering-quantum-mechanics"" target=""_blank"" rel=""noopener"">MIT Press</a>&nbsp;in April 2022.",https://ocw.mit.edu/courses/8-05-quantum-physics-ii-fall-2013/,"['Science', 'Physics', 'Quantum Mechanics']",26,86,1380902,0.7017543859649122
Exploring Black Holes: General Relativity & Astrophysics,"Study of physical effects in the vicinity of a black hole as a basis for understanding general relativity, astrophysics, and elements of cosmology. Extension to current developments in theory and observation. Energy and momentum in flat spacetime; the metric; curvature of spacetime near rotating and nonrotating centers of attraction; trajectories and orbits of particles and light; elementary models of the Cosmos. Weekly meetings include an evening seminar and recitation. The last third of the semester is reserved for collaborative research projects on topics such as the Global Positioning System, solar system tests of relativity, descending into a black hole, gravitational lensing, gravitational waves, Gravity Probe B, and more advanced models of the Cosmos.",https://ocw.mit.edu/courses/8-224-exploring-black-holes-general-relativity-astrophysics-spring-2003/,"['Science', 'Physics', 'Astrophysics', 'Relativity']",6,89,434510,0.5
The Early Universe,"<p>The Early Universe provides an introduction to modern cosmology. The first part of the course deals with the classical cosmology, and later part with modern particle physics and its recent impact on cosmology.</p>
<h2 id=""in-the-news"">In the News</h2>
<p>For more about Professor Guth’s work, <a href=""http://www.wbur.org/2015/02/26/visionaries-alan-guth-mit"" target=""_blank"" rel=""noopener"">listen to this interview</a> from WBUR, Boston’s National Public Radio news station.</p>
<p>You may also be interested in this MIT Alumni Association Podcast <a href=""https://alum.mit.edu/slice/podcast-inflationary-cosmology-our-universe-part-multiverse"" target=""_blank"" rel=""noopener"">Inflationary Cosmology—Is Our Universe Part of a Multiverse?</a> with Professor Guth.</p>
",https://ocw.mit.edu/courses/8-286-the-early-universe-fall-2013/,"['Science', 'Physics', 'Astrophysics', 'Theoretical Physics']",23,90,965829,0.6666666666666666
Statistical Mechanics I: Statistical Mechanics of Particles,"Statistical Mechanics is a probabilistic approach to equilibrium properties of large numbers of degrees of freedom. In this two-semester course, basic principles are examined. Topics include: Thermodynamics, probability theory, kinetic theory, classical statistical mechanics, interacting systems, quantum statistical mechanics, and identical particles.",https://ocw.mit.edu/courses/8-333-statistical-mechanics-i-statistical-mechanics-of-particles-fall-2013/,"['Mathematics', 'Probability and Statistics', 'Science', 'Physics', 'Particle Physics', 'Quantum Mechanics', 'Thermodynamics']",26,91,1677361,0.7368421052631579
Statistical Mechanics II: Statistical Physics of Fields,"This is the second term in a two-semester course on statistical mechanics. Basic principles are examined in this class, such as the laws of thermodynamics and the concepts of temperature, work, heat, and entropy. Topics from modern statistical mechanics are also explored, including the hydrodynamic limit and classical field theories.",https://ocw.mit.edu/courses/8-334-statistical-mechanics-ii-statistical-physics-of-fields-spring-2014/,"['Mathematics', 'Probability and Statistics', 'Science', 'Physics', 'Theoretical Physics', 'Thermodynamics']",26,92,256265,0.3508771929824561
Atomic and Optical Physics I,"This is the first of a two-semester subject sequence that provides the foundations for contemporary research in selected areas of atomic and optical physics. Topics covered include the interaction of radiation with atoms: resonance; absorption, stimulated and spontaneous emission; methods of resonance, dressed atom formalism, masers and lasers, cavity quantum electrodynamics; structure of simple atoms, behavior in very strong fields; fundamental tests: time reversal, parity violations, Bell’s inequalities; and experimental methods.",https://ocw.mit.edu/courses/8-421-atomic-and-optical-physics-i-spring-2014/,"['Science', 'Physics', 'Atomic, Molecular, Optical Physics']",25,93,284886,0.38596491228070173
Atomic and Optical Physics II,"This is the second of a two-semester subject sequence beginning with Atomic and Optical Physics I (8.421) that provides the foundations for contemporary research in selected areas of atomic and optical physics. Topics covered include non-classical states of light–squeezed states; multi-photon processes, Raman scattering; coherence–level crossings, quantum beats, double resonance, superradiance; trapping and cooling-light forces, laser cooling, atom optics, spectroscopy of trapped atoms and ions; atomic interactions–classical collisions, quantum scattering theory, ultracold collisions; and experimental methods.",https://ocw.mit.edu/courses/8-422-atomic-and-optical-physics-ii-spring-2013/,"['Science', 'Physics', 'Atomic, Molecular, Optical Physics']",28,94,364373,0.45614035087719296
Systems Biology,"This course provides an introduction to cellular and population-level systems biology with an emphasis on synthetic biology, modeling of genetic networks, cell-cell interactions, and evolutionary dynamics. Cellular systems include genetic switches and oscillators, network motifs, genetic network evolution, and cellular decision-making. Population-level systems include models of pattern formation, cell-cell communication, and evolutionary systems biology.",https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,"['Engineering', 'Biological Engineering', 'Synthetic Biology', 'Science', 'Biology', 'Cell Biology', 'Computation and Systems Biology', 'Physics']",24,95,328596,0.43859649122807015
String Theory and Holographic Duality,"This string theory course focuses on holographic duality (also known as gauge / gravity duality or AdS / CFT) as a novel method of approaching and connecting a range of diverse subjects, including quantum gravity / black holes, QCD at extreme conditions, exotic condensed matter systems, and quantum information.",https://ocw.mit.edu/courses/8-821-string-theory-and-holographic-duality-fall-2014/,"['Science', 'Physics', 'Particle Physics', 'Quantum Mechanics', 'Theoretical Physics']",24,97,267646,0.35964912280701755
Effective Field Theory,"Effective field theory is a fundamental framework to describe physical systems with quantum field theory. Part I of this course covers common tools used in effective theories. Part II is an in depth study of the Soft-Collinear Effective Theory (SCET), an effective theory for hard interactions in collider physics.",https://ocw.mit.edu/courses/8-851-effective-field-theory-spring-2013/,"['Science', 'Physics', 'Particle Physics']",26,98,159760,0.23684210526315788
General Relativity,"8.962 is MIT’s graduate course in general relativity, which covers the basic principles of Einstein’s general theory of relativity, differential geometry, experimental tests of general relativity, black holes, and cosmology.",https://ocw.mit.edu/courses/8-962-general-relativity-spring-2020/,"['Science', 'Physics', 'Relativity']",23,99,720750,0.6052631578947368
Sensory Systems,"This course examines the neural bases of sensory perception. The focus is on physiological and anatomical studies of the mammalian nervous system as well as behavioral studies of animals and humans. Topics include visual pattern, color and depth perception, auditory responses and sound localization, and somatosensory perception.",https://ocw.mit.edu/courses/9-04-sensory-systems-fall-2013/,"['Health and Medicine', 'Anatomy and Physiology', 'Sensory-Neural Systems', 'Science', 'Biology', 'Neurobiology', 'Neuroscience']",23,101,288482,0.40350877192982454
The Human Brain,"This course surveys the core perceptual and cognitive abilities of the human mind and asks how they are implemented in the brain. Key themes include the representations, development, and degree of functional specificity of these components of mind and brain. The course will take students straight to the cutting edge of the field, empowering them to understand and critically evaluate empirical articles in the current literature.",https://ocw.mit.edu/courses/9-13-the-human-brain-spring-2019/,"['Health and Medicine', 'Sensory-Neural Systems', 'Science', 'Biology', 'Neuroscience', 'Cognitive Science']",17,102,12462786,0.9649122807017544
Introduction to Neural Computation,"This course introduces quantitative approaches to understanding brain and cognitive functions. Topics include mathematical description of neurons, the response of neurons to sensory stimuli, simple neuronal networks, statistical inference and decision making. It also covers foundational quantitative tools of data analysis in neuroscience: correlation, convolution, spectral analysis, principal components analysis, and mathematical concepts including simple differential equations and linear algebra.",https://ocw.mit.edu/courses/9-40-introduction-to-neural-computation-spring-2018/,"['Engineering', 'Biological Engineering', 'Computational Biology', 'Health and Medicine', 'Biomedical Signal and Image Processing', 'Sensory-Neural Systems', 'Science', 'Biology', 'Biophysics', 'Neuroscience', 'Cognitive Science']",20,103,252268,0.34210526315789475
Numerical Methods Applied to Chemical Engineering,"Numerical methods for solving problems arising in heat and mass transfer, fluid mechanics, chemical reaction engineering, and molecular simulation. Topics: Numerical linear algebra, solution of nonlinear algebraic equations and ordinary differential equations, solution of partial differential equations (e.g. Navier-Stokes), numerical methods in molecular simulation (dynamics, geometry optimization). All methods are presented within the context of chemical engineering problems. Familiarity with structured programming is assumed.",https://ocw.mit.edu/courses/10-34-numerical-methods-applied-to-chemical-engineering-fall-2015/,"['Engineering', 'Chemical Engineering', 'Computer Science', 'Data Mining', 'Systems Engineering', 'Computational Modeling and Simulation', 'Mathematics', 'Applied Mathematics']",23,104,192151,0.2807017543859649
Sensing Place: Photography as Inquiry,"<p>This course explores photography as a disciplined way of seeing or investigating urban landscapes, and expressing ideas. Readings, observations, and photographs form the basis of discussions on light, detail, place, poetics, narrative, and how photography can inform design and planning.</p>
<p>The current version of the class website for the course can be found here: <a href=""http://architecture.mit.edu/class/landphoto/"" target=""_blank"" rel=""noopener"">Sensing Place: Photography as Inquiry</a>.</p>
",https://ocw.mit.edu/courses/11-309j-sensing-place-photography-as-inquiry-fall-2012/,"['Fine Arts', 'Architecture', 'Environmental Design', 'Visual Arts', 'Photography', 'Social Science', 'Urban Studies', 'Urban Planning']",8,105,53894,0.09649122807017543
City Visions: Past and Future,"This class is intended to introduce students to understandings of the city generated from both social science literature and the field of urban design. The first part of the course examines literature on the history and theory of the city. Among other factors, it pays special attention to the larger territorial settings in which cities emerged and developed (ranging from the global to the national to the regional&nbsp;context) and how these affected the nature, character, and functioning of cities and the lives of their inhabitants. The remaining weeks focus more explicitly on the theory and practice of design visions for the city, the latter in both utopian and realized form. One of our aims will be to assess the conditions under which a variety of design visions were conceived, and to assess them in terms of the varying patterns of territorial “nestedness” (local, regional, national, imperial, and global) examined in the first part of the course. Another will be to encourage students to think about the future prospects of cities (in terms of territorial context or other political functions and social aims) and to offer design visions that might reflect these new dynamics.",https://ocw.mit.edu/courses/11-949-city-visions-past-and-future-spring-2004/,"['Fine Arts', 'Architecture', 'Environmental Design', 'Humanities', 'History', 'Comparative History', 'Social Science', 'Sociology', 'Urban Studies']",4,111,11899,0.017543859649122806
Reflective Practice: An Approach for Expanding Your Learning Frontiers,"<p>The course is an introduction to the approach of Reflective Practice developed by Donald Schön. It is an approach that enables professionals to understand how they use their knowledge in practical situations and how they can combine practice and learning in a more effective way. Through greater awareness of how they deploy their knowledge in practical situations, professionals can increase their capacities of learning in a more timely way. Understanding how they frame situations and ideas helps professionals to achieve greater flexibility and increase their capacity of conceptual innovation.</p>
<p>The objective of the course is to introduce students to the approach and methods of reflective practice by raising their awareness about their own cognitive resources and how they use them in their practice. The course will introduce theories of learning, knowledge generation, framing and reframing, theories of action, reflection-in-practice, and conceptual innovation, and provide students with opportunities to experiment with these theories in real life through practical exercises in which they reflect on real situations that they have faced in their past professional experience. Through these practical exercises, students will have the opportunity to reflect on their thinking capacities in the context of their practice.</p>
",https://ocw.mit.edu/courses/11-965-reflective-practice-an-approach-for-expanding-your-learning-frontiers-january-iap-2007/,"['Business', 'Innovation', 'Social Science', 'Psychology']",10,113,45325,0.07017543859649122
Principles of Microeconomics,"<p>This introductory undergraduate course covers the fundamentals of microeconomics. Topics include supply and demand, market equilibrium, consumer theory, production and the behavior of firms, monopoly, oligopoly, welfare economics, public goods, and externalities.&nbsp;</p>
<p><strong>Chalk Radio Podcast</strong></p>
<p>Prof. Jonathan Gruber was featured in an episode of OpenCourseWare’s podcast, <a href=""https://chalk-radio.simplecast.com/"" target=""_blank"" rel=""noopener"">Chalk Radio</a>. In the episode “Thinking Like an Economist,” Prof. Gruber talks about how he engages students in 14.01 with accessible real world examples. Listen to the episode on <a href=""https://podcasts.apple.com/us/podcast/chalk-radio/id1497545103"" target=""_blank"" rel=""noopener"">Apple Podcasts</a>.</p>
<p><strong>MITx Online Version</strong></p>
<p>This course is part of the Micromaster’s Program in Data, Economics, and Development Policy through MITx Online. The course is entirely free to audit, though learners have the option to pay a fee, which is based on the learner’s ability to pay, to take the proctored exam, and earn a course certificate. To access the course, create an MITx Online account and enroll in the course <a href=""https://mitxonline.mit.edu/courses/course-v1:MITxT+14.100x/?utm_medium=ocw-website&amp;utm_source=ocw-website&amp;utm_campaign=dedp&amp;utm_content=ocw-page-microeconomics"" target=""_blank"" rel=""noopener"">14.100x Microeconomics</a>.</p>
",https://ocw.mit.edu/courses/14-01-principles-of-microeconomics-fall-2018/,"['Social Science', 'Economics', 'Microeconomics']",25,116,3931128,0.8596491228070176
Psychology and Economics,"Psychology and Economics (aka Behavioral Economics) is a growing subfield of economics that incorporates insights from psychology and other social sciences into economics. This course covers recent advances in behavioral economics by reviewing some of the assumptions made&nbsp;in mainstream economic models, and by discussing how human behavior systematically departs from these assumptions.&nbsp;Applications will cover a wide range of fields, including labor and public economics, industrial organization, health economics, finance, and development economics.",https://ocw.mit.edu/courses/14-13-psychology-and-economics-spring-2020/,"['Social Science', 'Economics', 'Psychology']",24,119,243800,0.32456140350877194
The Challenge of World Poverty,"<p>This is a course for those who are interested in the challenge posed by massive and persistent world poverty, and are hopeful that economists might have something useful to say about this challenge. The questions we will take up include: Is extreme poverty a thing of the past? What is economic life like when living under a dollar per day? Why do some countries grow fast and others fall further behind? Does growth help the poor? Are famines unavoidable? How can we end child labor—or should we? How do we make schools work for poor citizens? How do we deal with the disease burden? Is micro finance invaluable or overrated? Without property rights, is life destined to be “nasty, brutish and short”? Has globalization been good to the poor? Should we leave economic development to the market? Should we leave economic development to non-governmental organizations (NGOs)? Does foreign aid help or hinder? Where is the best place to intervene?</p>
<p><strong>MITx Online Version</strong></p>
<p>This course is part of the Micromaster’s Program in Data, Economics, and Development Policy through MITx Online. The course is entirely free to audit, though learners have the option to pay a fee, which is based on the learner’s ability to pay, to take the proctored exam, and earn a course certificate. To access the course, create an MITx Online account and enroll in the course <a href=""https://mitxonline.mit.edu/courses/course-v1:MITxT+14.73x/?utm_medium=ocw-website&amp;utm_source=ocw-website&amp;utm_campaign=dedp&amp;utm_content=ocw-page-challenges-of-global-poverty"" target=""_blank"" rel=""noopener"">14.73x The Challenges of Global Poverty</a>.</p>
",https://ocw.mit.edu/courses/14-73-the-challenge-of-world-poverty-spring-2011/,"['Business', 'Globalization', 'Social Science', 'Economics', 'Developmental Economics', 'Public Administration', 'Social Welfare', 'Society', 'Global Poverty']",22,120,2013725,0.7719298245614035
Development Economics: Macroeconomics,"<p>This course emphasizes dynamic models of growth and development. Topics covered include: migration, modernization, and technological change; static and dynamic models of political economy; the dynamics of income distribution and institutional change; firm structure in developing countries; development, transparency, and functioning of financial markets; privatization; and banks and credit market institutions in emerging markets.</p>
<p>At MIT, this course was team taught by Prof. Robert Townsend, who taught for the first half of the semester, and Prof. Abhijit Banerjee, who taught during the second half. On OCW we are only including materials associated with sessions one through 13, which comprise the first half of the class.</p>
",https://ocw.mit.edu/courses/14-772-development-economics-macroeconomics-spring-2013/,"['Social Science', 'Economics', 'Developmental Economics', 'Econometrics', 'Macroeconomics', 'Microeconomics']",12,121,216096,0.2982456140350877
"Energy Decisions, Markets, and Policies","<p>This course examines the choices and constraints regarding sources and uses of energy by households, firms, and governments through a number of frameworks to describe and explain behavior at various levels of aggregation. Examples include a wide range of countries, scope, settings, and analytical approaches.</p>
<p>This course is one of many <a href=""/courses/energy-courses/"">OCW Energy Courses</a>, and it is a core subject in MIT’s undergraduate <a href=""http://mitei.mit.edu/education/energy-minor/"" target=""_blank"" rel=""noopener"">Energy Studies Minor</a>. This Institute-wide program complements the deep expertise obtained in any major with a broad understanding of the interlinked realms of science, technology, and social sciences as they relate to energy and associated environmental challenges.</p>
",https://ocw.mit.edu/courses/15-031j-energy-decisions-markets-and-policies-spring-2012/,"['Business', 'Globalization', 'Energy', 'Social Science', 'Economics', 'International Economics', 'Public Administration', 'Science and Technology Policy']",21,122,288942,0.41228070175438597
How to Develop Breakthrough Products and Services,"Firms must develop major innovations to prosper, but they don’t know how to. However, recent research into the innovation process has made it possible to develop breakthroughs systematically. <em>15.356 How to Develop Breakthrough Products and Services</em> explores several practical idea generation development methods. To convey the art required to implement each of these methodologies, experts are invited to present real cases to the class.",https://ocw.mit.edu/courses/15-356-how-to-develop-breakthrough-products-and-services-spring-2012/,"['Business', 'Entrepreneurship', 'Innovation']",4,126,76539,0.10526315789473684
Blockchain and Money,"This course is for students wishing to explore blockchain technology’s potential use—by entrepreneurs and incumbents—to change the world of money and finance. The course begins with a review of Bitcoin and an understanding of the commercial, technical, and public policy fundamentals of blockchain technology, distributed ledgers, and smart contracts. The class then continues on to current and potential blockchain applications in the financial sector.",https://ocw.mit.edu/courses/15-s12-blockchain-and-money-fall-2018/,"['Business', 'Finance', 'Information Technology', 'Engineering', 'Computer Science', 'Algorithms and Data Structures', 'Computer Networks', 'Cryptography']",23,131,13934360,0.9736842105263158
Nuts and Bolts of Business Plans,"<p>The nuts and bolts of preparing a New Venture Plan and launching the venture will be explored in this twenty-fifth&nbsp;annual course offering. The course is open to members of the MIT Community and to others interested in entrepreneurship. It is particularly recommended for persons who are interested in starting or are involved in a new business or venture. Because some of the speakers will be judges of the MIT $100K Entrepreneurship Competition, persons who are planning to enter the Competition should find the course particularly useful. In the past approximately 50% of the class has been from the Engineering / Science / Architecture Schools and 50% from the Sloan School of Management.</p>
<p>The course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.</p>
",https://ocw.mit.edu/courses/15-s21-nuts-and-bolts-of-business-plans-january-iap-2014/,"['Business', 'Entrepreneurship', 'Finance', 'Innovation', 'Management']",7,132,618774,0.5526315789473685
How to Win at Texas Hold'em Poker,"<p>Offered during MIT’s Independent Activites Period (IAP), this short course covers the poker concepts, math concepts, and general concepts needed to play the game of Texas Hold’em on a professional level.</p>
<p><a href=""http://web.mit.edu/IAP/"" target=""_blank"" rel=""noopener"">IAP is a special 4-week term in January</a> that provides members of the MIT community including students, faculty, staff, and alums with an opportunity to organize, sponsor and participate in a wide variety of activities and topics that are often outside of the regular MIT curriculum.</p>
<p><strong>Faculty Advisor:</strong> Paul Mende</p>
",https://ocw.mit.edu/courses/15-s50-how-to-win-at-texas-holdem-poker-january-iap-2016/,"['Mathematics', 'Probability and Statistics']",6,133,181665,0.2631578947368421
Poker Theory and Analytics,"<p>This course takes a broad-based look at poker theory and applications of poker analytics to investment management and trading.</p>
<p>This course is offered during the <a href=""http://web.mit.edu/IAP/"" target=""_blank"" rel=""noopener"">Independent Activities Period (IAP)</a>, which is a special 4-week term at MIT in January. IAP provides members of the MIT community including students, faculty, staff, and alums with an opportunity to organize, sponsor and participate in a wide variety of activities and topics that are often outside of the regular MIT curriculum.</p>
<p><strong>Faculty Advisor</strong>: Paul Mende</p>
",https://ocw.mit.edu/courses/15-s50-poker-theory-and-analytics-january-iap-2015/,"['Business', 'Management', 'Mathematics', 'Probability and Statistics']",8,134,1727076,0.7456140350877193
Introduction to Lean Six Sigma Methods,"<p>This course covers the fundamental principles, practices and tools of Lean Six Sigma methods that underlay modern organizational productivity approaches applied in aerospace, automotive, health care, and other sectors. It includes lectures, active learning exercises, a plant tour, talks by industry practitioners, and videos. One third of the course is devoted to a physical simulation of an aircraft manufacturing enterprise or a clinic to illustrate the power of Lean Six Sigma methods.</p>
<p>The course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.</p>
",https://ocw.mit.edu/courses/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012/,"['Business', 'Health Care Management', 'Leadership', 'Operations Management', 'Organizational Behavior', 'Project Management', 'Engineering', 'Aerospace Engineering', 'Systems Engineering', 'Systems Optimization']",17,137,510960,0.5350877192982456
Private Pilot Ground School,"This is a three-day workshop that took place during the MIT Independent Activities Period (IAP) in January, 2019. This workshop aims to provide information for students to prepare for the FAA Private Pilot Knowledge Test. Topics include airplane aerodynamics, aircraft systems, navigation, meteorology, aircraft ownership and maintenance, aircraft performance, multi-engine and jets.",https://ocw.mit.edu/courses/16-687-private-pilot-ground-school-january-iap-2019/,"['Engineering', 'Aerospace Engineering']",24,138,8833545,0.956140350877193
Fundamentals of Systems Engineering,"<p>General introduction to systems engineering using both the classical V-model and the new <em>Meta</em> approach. Topics include stakeholder analysis, requirements definition, system architecture and concept generation, trade-space exploration and concept selection, design definition and optimization, system integration and interface management, system safety, verification and validation, and commissioning and operations. Discusses the trade-offs between performance, lifecycle cost and system operability. Readings based on systems engineering standards and papers. Students apply the concepts of systems engineering to a cyber-electro-mechanical system, which is subsequently entered into a design competition.</p>
<p>Students will prepare a PDR (Preliminary Design Review)-level design intended for the <em>Cansat Competition</em>.This year’s class will be taught in the form of a Small-Private-Online-Course (SPOC) and offered simultaneously to students at MIT under number 16.842 and Ecole Polytechnique Fédérale de Lausanne (EPFL) as ENG-421.</p>
",https://ocw.mit.edu/courses/16-842-fundamentals-of-systems-engineering-fall-2015/,"['Engineering', 'Aerospace Engineering', 'Systems Engineering']",10,140,348176,0.4473684210526316
